Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
USA,2023,DDoS,Banking,32.09,761333,Hacker Group,Zero-day,VPN,33
Brazil,2024,Malware,Healthcare,42.83,705859,Nation-state,Weak Passwords,Antivirus,46
Australia,2020,DDoS,Education,6.61,276093,Nation-state,Weak Passwords,Antivirus,21
Germany,2019,Ransomware,Education,5.63,134772,Hacker Group,Social Engineering,Firewall,18
China,2024,Ransomware,Banking,17.5,415921,Hacker Group,Weak Passwords,VPN,30
Russia,2016,Man-in-the-Middle,Retail,49.15,555853,Hacker Group,Unpatched Software,Firewall,53
Japan,2018,DDoS,IT,10.73,541652,Nation-state,Social Engineering,VPN,33
Australia,2019,Ransomware,IT,16.54,360975,Nation-state,Zero-day,AI-based Detection,15
USA,2015,Phishing,Banking,3.36,291894,Hacker Group,Unpatched Software,VPN,8
USA,2015,Phishing,IT,15.45,472407,Insider,Unpatched Software,AI-based Detection,41
Japan,2017,SQL Injection,Education,7.94,153929,Nation-state,Social Engineering,Firewall,22
Germany,2019,Malware,Telecommunications,5.66,129598,Hacker Group,Unpatched Software,VPN,2
USA,2017,SQL Injection,Retail,10.67,573988,Insider,Social Engineering,Encryption,39
Brazil,2023,Malware,Telecommunications,19.56,201034,Nation-state,Unpatched Software,VPN,38
India,2022,DDoS,Education,4.89,162235,Hacker Group,Social Engineering,Encryption,8
UK,2016,Man-in-the-Middle,Healthcare,8.6,214926,Unknown,Social Engineering,Antivirus,18
USA,2016,DDoS,IT,11.02,583334,Insider,Weak Passwords,VPN,48
Japan,2024,Man-in-the-Middle,Education,10.41,462333,Nation-state,Zero-day,VPN,15
France,2015,Phishing,Banking,9.15,80120,Hacker Group,Zero-day,Firewall,17
Germany,2020,Phishing,Telecommunications,45.69,615514,Hacker Group,Weak Passwords,Firewall,57
Brazil,2020,SQL Injection,Education,38.38,917559,Hacker Group,Unpatched Software,Firewall,42
Japan,2023,Ransomware,Education,15.94,247134,Insider,Social Engineering,Firewall,24
Japan,2021,Ransomware,Banking,18.6,214470,Unknown,Social Engineering,VPN,27
Australia,2023,Man-in-the-Middle,Telecommunications,2.76,86485,Insider,Unpatched Software,Firewall,24
India,2017,DDoS,Healthcare,76.47,897656,Insider,Unpatched Software,Antivirus,25
Russia,2022,DDoS,Retail,11.72,308632,Nation-state,Weak Passwords,Antivirus,12
India,2019,Phishing,Government,37.78,663838,Nation-state,Unpatched Software,Antivirus,30
India,2022,Ransomware,Retail,33.4,537465,Unknown,Zero-day,VPN,66
USA,2018,Phishing,Banking,10.85,516835,Hacker Group,Unpatched Software,Firewall,24
USA,2016,Ransomware,Healthcare,1.3,264449,Nation-state,Social Engineering,VPN,1
Japan,2021,Ransomware,Retail,6.56,78934,Hacker Group,Social Engineering,Firewall,18
Russia,2022,DDoS,Retail,3.94,186335,Insider,Social Engineering,Firewall,10
Germany,2024,Malware,Government,10.17,210164,Hacker Group,Social Engineering,Firewall,46
Australia,2024,SQL Injection,Retail,12.6,263062,Unknown,Unpatched Software,VPN,22
USA,2024,DDoS,Banking,16.98,414414,Nation-state,Zero-day,Firewall,33
Germany,2021,Phishing,Retail,18.85,244594,Hacker Group,Unpatched Software,Encryption,17
China,2017,DDoS,Retail,15.75,310940,Hacker Group,Zero-day,VPN,38
UK,2015,Man-in-the-Middle,Banking,1.53,82476,Nation-state,Unpatched Software,VPN,4
China,2022,DDoS,Education,19.46,256268,Unknown,Social Engineering,VPN,30
UK,2016,Phishing,Healthcare,19.53,368188,Unknown,Unpatched Software,Firewall,48
China,2016,DDoS,IT,19.88,366488,Hacker Group,Zero-day,VPN,31
China,2017,Phishing,Government,8.47,160545,Insider,Zero-day,AI-based Detection,22
USA,2015,Ransomware,IT,13.63,210472,Nation-state,Social Engineering,Firewall,17
India,2023,DDoS,Healthcare,11.3,540555,Nation-state,Unpatched Software,Antivirus,37
Germany,2016,Malware,Healthcare,8.63,280723,Unknown,Zero-day,Firewall,21
USA,2021,Ransomware,Education,4.12,244717,Hacker Group,Unpatched Software,Firewall,5
China,2019,Phishing,Government,15.23,338280,Hacker Group,Zero-day,AI-based Detection,21
India,2024,DDoS,Retail,81.56,596538,Hacker Group,Zero-day,Encryption,48
France,2015,SQL Injection,Government,21.7,435949,Nation-state,Zero-day,Encryption,43
China,2018,Malware,IT,15.31,436596,Hacker Group,Social Engineering,Antivirus,39
India,2021,Ransomware,IT,4.93,87593,Hacker Group,Unpatched Software,Firewall,13
Germany,2018,SQL Injection,Retail,5.11,92225,Nation-state,Unpatched Software,VPN,3
Russia,2021,Phishing,IT,19.82,581763,Hacker Group,Unpatched Software,Encryption,28
India,2016,Man-in-the-Middle,Banking,19.55,455466,Hacker Group,Weak Passwords,Firewall,18
Germany,2023,DDoS,Education,11.37,322261,Unknown,Unpatched Software,VPN,38
Russia,2024,Malware,Banking,32.98,839851,Hacker Group,Weak Passwords,Encryption,54
USA,2020,Malware,Banking,4.04,259987,Unknown,Weak Passwords,Antivirus,18
Brazil,2016,Malware,IT,93.43,648926,Nation-state,Unpatched Software,Encryption,57
China,2018,Malware,IT,36.11,516278,Nation-state,Weak Passwords,Firewall,41
China,2017,Phishing,Healthcare,3.58,278514,Hacker Group,Weak Passwords,Encryption,18
Germany,2016,Phishing,IT,47.94,534253,Unknown,Social Engineering,Antivirus,58
UK,2022,Ransomware,Banking,4.89,71669,Unknown,Unpatched Software,Firewall,5
UK,2023,SQL Injection,Telecommunications,14.84,418768,Hacker Group,Weak Passwords,Encryption,25
USA,2024,Ransomware,Banking,13.22,412138,Insider,Weak Passwords,VPN,36
USA,2020,Ransomware,Banking,21.66,334941,Nation-state,Social Engineering,AI-based Detection,34
China,2024,SQL Injection,Healthcare,18.09,561126,Nation-state,Unpatched Software,Firewall,12
Japan,2016,Ransomware,IT,4.06,209438,Insider,Zero-day,VPN,18
Australia,2022,Man-in-the-Middle,Healthcare,10.13,557513,Hacker Group,Unpatched Software,AI-based Detection,30
India,2020,DDoS,Government,19.08,218543,Nation-state,Weak Passwords,Firewall,23
Brazil,2019,Phishing,Healthcare,71.02,847186,Unknown,Zero-day,VPN,70
France,2024,DDoS,Retail,6.62,60284,Hacker Group,Zero-day,Antivirus,24
UK,2024,Ransomware,Education,8.11,83683,Insider,Social Engineering,Firewall,2
China,2024,SQL Injection,Banking,38.89,726779,Nation-state,Unpatched Software,Antivirus,48
France,2015,DDoS,Banking,10.86,435220,Hacker Group,Social Engineering,Antivirus,40
Japan,2022,Phishing,Healthcare,16.51,590246,Unknown,Social Engineering,Antivirus,34
Brazil,2019,SQL Injection,Banking,57.54,873347,Unknown,Social Engineering,Firewall,40
China,2020,DDoS,Telecommunications,9.09,156172,Nation-state,Unpatched Software,Firewall,18
USA,2016,Man-in-the-Middle,Banking,8.39,250324,Nation-state,Social Engineering,Antivirus,2
India,2018,Ransomware,Healthcare,15.09,311778,Nation-state,Weak Passwords,Antivirus,32
India,2019,DDoS,Retail,3.95,126015,Unknown,Zero-day,Antivirus,13
Australia,2015,DDoS,Banking,5.48,30217,Hacker Group,Zero-day,AI-based Detection,22
Brazil,2024,Ransomware,Telecommunications,10.06,535796,Hacker Group,Social Engineering,VPN,15
Australia,2019,DDoS,Banking,18.18,237446,Insider,Zero-day,Encryption,40
Japan,2016,Malware,Retail,12.05,381711,Hacker Group,Unpatched Software,Firewall,13
UK,2022,Ransomware,Government,6.14,11294,Insider,Zero-day,Encryption,23
Brazil,2024,Malware,Healthcare,8.73,295892,Hacker Group,Social Engineering,Encryption,3
China,2017,DDoS,Healthcare,4.68,264676,Insider,Unpatched Software,VPN,9
India,2019,Phishing,Banking,6.02,230213,Nation-state,Unpatched Software,AI-based Detection,6
India,2018,Malware,Government,1.67,23611,Hacker Group,Unpatched Software,VPN,24
UK,2015,Ransomware,IT,14.94,297176,Unknown,Zero-day,VPN,30
USA,2016,Ransomware,Banking,35.0,760680,Nation-state,Social Engineering,AI-based Detection,24
China,2022,Phishing,Healthcare,2.77,234510,Nation-state,Social Engineering,Antivirus,22
India,2022,DDoS,IT,9.62,266025,Unknown,Social Engineering,VPN,4
Germany,2020,SQL Injection,Government,3.94,189491,Nation-state,Social Engineering,VPN,13
China,2020,SQL Injection,Education,4.2,202405,Hacker Group,Social Engineering,Antivirus,21
Brazil,2021,Man-in-the-Middle,Banking,7.25,183606,Nation-state,Social Engineering,AI-based Detection,12
China,2021,Man-in-the-Middle,Healthcare,99.83,566676,Nation-state,Social Engineering,Antivirus,58
USA,2019,Man-in-the-Middle,Healthcare,17.8,496859,Nation-state,Zero-day,Antivirus,15
Brazil,2022,Ransomware,Telecommunications,0.57,62425,Unknown,Weak Passwords,VPN,1
Russia,2024,SQL Injection,Banking,10.95,207131,Insider,Unpatched Software,Antivirus,40
UK,2019,DDoS,Government,1.17,280077,Hacker Group,Weak Passwords,VPN,17
Russia,2022,DDoS,Healthcare,14.16,572878,Insider,Social Engineering,Firewall,17
Japan,2021,SQL Injection,IT,1.05,117279,Nation-state,Social Engineering,Firewall,6
Australia,2016,Ransomware,Education,18.65,267993,Nation-state,Unpatched Software,Firewall,17
Australia,2021,Malware,IT,11.21,564580,Hacker Group,Unpatched Software,VPN,44
Germany,2024,Ransomware,Banking,18.28,407993,Hacker Group,Social Engineering,Antivirus,40
USA,2021,SQL Injection,IT,15.04,422423,Hacker Group,Social Engineering,Firewall,38
Brazil,2022,SQL Injection,Government,2.02,197865,Unknown,Social Engineering,Firewall,7
USA,2015,Ransomware,Telecommunications,19.63,248287,Hacker Group,Unpatched Software,Firewall,34
France,2018,Phishing,Banking,93.25,885961,Insider,Social Engineering,Firewall,64
Australia,2015,SQL Injection,Government,9.41,104665,Hacker Group,Unpatched Software,AI-based Detection,21
France,2021,Ransomware,Banking,5.76,59434,Hacker Group,Zero-day,VPN,11
Russia,2019,Malware,Retail,28.32,394567,Unknown,Zero-day,VPN,34
UK,2020,Ransomware,Retail,2.07,136677,Insider,Social Engineering,Firewall,6
Australia,2022,Man-in-the-Middle,Education,6.04,219524,Hacker Group,Social Engineering,Antivirus,3
Australia,2016,Man-in-the-Middle,Retail,31.07,793668,Hacker Group,Unpatched Software,Encryption,54
Australia,2017,DDoS,Banking,8.63,109047,Nation-state,Unpatched Software,Encryption,13
Australia,2018,Ransomware,Healthcare,6.91,95951,Unknown,Social Engineering,AI-based Detection,19
Germany,2019,Malware,Healthcare,19.74,527456,Hacker Group,Social Engineering,Antivirus,38
Australia,2018,Ransomware,IT,10.84,587453,Hacker Group,Social Engineering,Antivirus,48
UK,2017,Malware,Retail,15.12,325810,Hacker Group,Social Engineering,Encryption,45
Brazil,2021,DDoS,Healthcare,12.35,558483,Unknown,Unpatched Software,Firewall,46
Japan,2019,Phishing,IT,15.36,224819,Insider,Weak Passwords,Firewall,42
Brazil,2024,Phishing,Government,0.79,140444,Nation-state,Social Engineering,AI-based Detection,21
Germany,2018,DDoS,Retail,17.2,597115,Unknown,Social Engineering,VPN,18
Germany,2024,DDoS,IT,67.26,661298,Hacker Group,Unpatched Software,VPN,64
Australia,2023,DDoS,Healthcare,44.38,658913,Insider,Unpatched Software,AI-based Detection,71
India,2017,Phishing,IT,4.14,142748,Unknown,Social Engineering,Firewall,8
UK,2018,Ransomware,Government,10.12,556086,Insider,Zero-day,Antivirus,29
UK,2023,Phishing,Retail,16.42,349045,Nation-state,Social Engineering,AI-based Detection,43
Australia,2018,Malware,Healthcare,17.66,526294,Hacker Group,Unpatched Software,VPN,30
Japan,2022,Ransomware,Government,60.75,542631,Unknown,Unpatched Software,Firewall,51
USA,2023,Man-in-the-Middle,Education,5.85,296223,Nation-state,Social Engineering,Encryption,9
UK,2023,Ransomware,Retail,12.98,376830,Nation-state,Zero-day,Encryption,27
India,2016,Malware,Education,2.42,166072,Unknown,Weak Passwords,VPN,21
China,2017,DDoS,Government,13.3,258018,Hacker Group,Social Engineering,Antivirus,28
USA,2023,Malware,Healthcare,16.81,239845,Hacker Group,Zero-day,Encryption,43
Japan,2022,Malware,Healthcare,2.62,212320,Unknown,Social Engineering,Encryption,4
France,2018,Phishing,Banking,12.01,514187,Hacker Group,Social Engineering,VPN,16
France,2018,Man-in-the-Middle,IT,28.69,316898,Unknown,Unpatched Software,AI-based Detection,16
China,2015,Phishing,IT,13.98,298876,Nation-state,Zero-day,Antivirus,16
USA,2023,Malware,Retail,3.05,110261,Insider,Social Engineering,VPN,15
Russia,2017,Malware,Retail,60.11,669130,Hacker Group,Unpatched Software,AI-based Detection,72
UK,2017,Ransomware,Education,0.78,66368,Hacker Group,Social Engineering,Firewall,18
Germany,2023,SQL Injection,Education,1.15,58050,Insider,Weak Passwords,Firewall,1
USA,2022,SQL Injection,Healthcare,0.67,243790,Unknown,Zero-day,AI-based Detection,6
Brazil,2022,SQL Injection,Retail,26.77,442408,Insider,Weak Passwords,Encryption,35
Brazil,2023,Phishing,Government,9.91,187569,Nation-state,Zero-day,Encryption,19
France,2019,Malware,Healthcare,37.99,900179,Hacker Group,Weak Passwords,Firewall,31
USA,2021,SQL Injection,Retail,11.28,351499,Unknown,Social Engineering,AI-based Detection,24
Japan,2017,Phishing,Government,4.39,178661,Unknown,Unpatched Software,VPN,3
UK,2018,Malware,Retail,5.04,8508,Nation-state,Social Engineering,VPN,1
USA,2024,Phishing,Telecommunications,17.04,513910,Unknown,Weak Passwords,Encryption,37
USA,2018,Malware,Government,14.87,435077,Unknown,Social Engineering,Firewall,27
Germany,2016,DDoS,Retail,1.43,137883,Hacker Group,Unpatched Software,Antivirus,11
China,2019,Malware,Government,9.36,249502,Nation-state,Zero-day,Firewall,23
Russia,2015,Ransomware,Banking,24.63,361727,Insider,Weak Passwords,Antivirus,46
USA,2024,Phishing,Banking,12.97,392050,Unknown,Social Engineering,AI-based Detection,35
Germany,2015,Phishing,Telecommunications,12.6,503112,Nation-state,Weak Passwords,Antivirus,39
Brazil,2023,SQL Injection,Banking,43.32,975755,Unknown,Weak Passwords,Firewall,25
USA,2023,Man-in-the-Middle,Banking,12.76,256134,Hacker Group,Unpatched Software,VPN,32
Japan,2020,Phishing,IT,8.76,53173,Unknown,Social Engineering,Antivirus,8
USA,2024,Phishing,Healthcare,10.73,453774,Hacker Group,Zero-day,Encryption,16
China,2015,Phishing,Telecommunications,40.86,690283,Hacker Group,Social Engineering,Firewall,25
Australia,2024,Malware,Education,15.23,495497,Nation-state,Weak Passwords,Firewall,40
France,2015,Malware,Banking,16.47,336096,Nation-state,Weak Passwords,Encryption,42
Russia,2016,Malware,Healthcare,7.31,287203,Nation-state,Unpatched Software,Firewall,9
USA,2015,Phishing,Retail,4.85,144732,Nation-state,Unpatched Software,VPN,18
Brazil,2015,Malware,Government,5.91,73190,Hacker Group,Weak Passwords,VPN,20
UK,2019,Man-in-the-Middle,Telecommunications,0.87,53213,Insider,Social Engineering,Encryption,1
UK,2017,Phishing,Healthcare,17.3,472040,Nation-state,Unpatched Software,Encryption,15
India,2021,Ransomware,IT,2.07,192392,Hacker Group,Unpatched Software,AI-based Detection,9
Russia,2019,Malware,Banking,14.96,362660,Insider,Unpatched Software,AI-based Detection,46
Germany,2015,Ransomware,Banking,15.37,221960,Unknown,Zero-day,AI-based Detection,35
India,2022,DDoS,Government,34.05,689337,Insider,Social Engineering,Encryption,29
USA,2018,Phishing,Telecommunications,43.72,845525,Hacker Group,Social Engineering,VPN,30
UK,2024,DDoS,IT,4.94,183539,Nation-state,Weak Passwords,Encryption,5
China,2023,DDoS,Telecommunications,4.2,149863,Nation-state,Social Engineering,Antivirus,11
France,2016,Ransomware,IT,14.34,229975,Nation-state,Social Engineering,Encryption,33
Germany,2018,Malware,Retail,93.91,929781,Unknown,Social Engineering,Antivirus,50
UK,2024,SQL Injection,Telecommunications,14.98,366921,Insider,Unpatched Software,AI-based Detection,44
Japan,2019,DDoS,Banking,3.05,141447,Nation-state,Unpatched Software,AI-based Detection,5
France,2022,Phishing,Banking,9.9,49233,Unknown,Zero-day,Firewall,5
Japan,2021,Phishing,Retail,75.64,739252,Nation-state,Social Engineering,Antivirus,43
China,2021,Ransomware,Healthcare,83.14,958506,Hacker Group,Zero-day,Antivirus,49
India,2021,Phishing,Banking,19.29,234720,Nation-state,Social Engineering,Firewall,42
India,2021,Ransomware,IT,13.18,434983,Unknown,Social Engineering,Firewall,23
UK,2015,DDoS,Telecommunications,9.69,260536,Nation-state,Unpatched Software,VPN,20
India,2017,SQL Injection,Education,2.13,140714,Nation-state,Zero-day,VPN,15
Brazil,2015,DDoS,Retail,10.53,551532,Insider,Zero-day,VPN,44
Australia,2019,Phishing,Healthcare,5.36,50064,Hacker Group,Unpatched Software,Antivirus,4
France,2016,Phishing,IT,14.14,519577,Nation-state,Weak Passwords,Antivirus,23
USA,2024,Phishing,Government,12.92,453632,Hacker Group,Social Engineering,VPN,36
USA,2020,Man-in-the-Middle,Telecommunications,14.92,293216,Insider,Zero-day,Encryption,17
Japan,2018,Ransomware,Education,19.04,554228,Hacker Group,Weak Passwords,AI-based Detection,30
Japan,2019,Phishing,Government,9.01,289731,Unknown,Social Engineering,Firewall,10
UK,2017,Malware,Banking,47.73,898852,Hacker Group,Unpatched Software,Firewall,46
UK,2015,DDoS,Healthcare,3.81,83731,Unknown,Unpatched Software,Firewall,6
India,2024,DDoS,Retail,38.88,647926,Unknown,Social Engineering,Antivirus,33
Brazil,2018,Phishing,Government,37.89,729112,Unknown,Social Engineering,VPN,27
USA,2016,DDoS,Telecommunications,17.97,531427,Unknown,Unpatched Software,Antivirus,15
Russia,2016,Malware,Healthcare,15.18,324402,Nation-state,Zero-day,VPN,44
USA,2016,SQL Injection,Government,5.35,117916,Unknown,Social Engineering,VPN,12
USA,2017,Malware,Banking,2.72,29705,Unknown,Zero-day,Antivirus,21
France,2023,SQL Injection,IT,7.96,93510,Insider,Unpatched Software,Encryption,5
Japan,2015,Phishing,Healthcare,2.4,213540,Nation-state,Social Engineering,Antivirus,11
China,2016,Malware,IT,16.68,520035,Unknown,Zero-day,Firewall,17
Russia,2018,Phishing,Telecommunications,27.67,395722,Nation-state,Social Engineering,VPN,28
China,2017,Phishing,Healthcare,12.02,459101,Insider,Zero-day,VPN,24
USA,2024,Malware,Government,12.84,573180,Nation-state,Social Engineering,Encryption,22
Russia,2016,DDoS,Retail,10.15,493315,Hacker Group,Weak Passwords,Antivirus,45
India,2023,SQL Injection,Government,16.57,342651,Nation-state,Unpatched Software,Encryption,48
Japan,2015,Phishing,Government,2.41,149476,Unknown,Unpatched Software,Antivirus,16
Germany,2022,SQL Injection,Education,8.6,18005,Unknown,Social Engineering,Firewall,14
Brazil,2023,DDoS,Healthcare,1.03,170100,Hacker Group,Social Engineering,AI-based Detection,1
UK,2021,Malware,IT,14.48,429642,Nation-state,Zero-day,VPN,30
Brazil,2024,DDoS,Retail,37.02,523549,Insider,Unpatched Software,Encryption,55
UK,2022,Phishing,Healthcare,19.1,532564,Nation-state,Social Engineering,VPN,27
France,2015,SQL Injection,Retail,3.31,253325,Unknown,Weak Passwords,Firewall,17
Australia,2018,DDoS,Retail,87.71,882701,Hacker Group,Social Engineering,Encryption,46
China,2020,Phishing,Banking,8.32,118713,Unknown,Social Engineering,Firewall,8
China,2022,Man-in-the-Middle,Healthcare,36.81,784965,Hacker Group,Social Engineering,Firewall,63
Russia,2021,Malware,IT,10.76,493454,Hacker Group,Weak Passwords,Firewall,39
Russia,2023,Ransomware,Education,18.32,258724,Hacker Group,Social Engineering,Encryption,36
Germany,2018,DDoS,Government,5.68,176628,Unknown,Unpatched Software,Firewall,9
Australia,2021,Man-in-the-Middle,IT,1.37,199947,Unknown,Zero-day,AI-based Detection,2
Australia,2022,Malware,Retail,2.15,215619,Nation-state,Social Engineering,AI-based Detection,14
China,2017,SQL Injection,Banking,18.54,420445,Hacker Group,Social Engineering,AI-based Detection,23
Russia,2016,Ransomware,Telecommunications,3.38,107544,Hacker Group,Weak Passwords,Firewall,17
UK,2023,SQL Injection,Education,24.94,312199,Insider,Weak Passwords,Firewall,39
UK,2016,Ransomware,Education,44.44,506990,Hacker Group,Weak Passwords,Firewall,29
Brazil,2020,SQL Injection,Retail,7.91,274180,Unknown,Social Engineering,VPN,23
Russia,2016,SQL Injection,IT,19.4,596558,Nation-state,Social Engineering,Firewall,34
UK,2023,Ransomware,Telecommunications,15.9,244264,Unknown,Social Engineering,Antivirus,47
Japan,2017,DDoS,Telecommunications,13.91,554370,Nation-state,Weak Passwords,Antivirus,37
Germany,2016,DDoS,Healthcare,2.09,47597,Hacker Group,Social Engineering,Encryption,15
Germany,2021,Phishing,Education,4.97,293988,Nation-state,Social Engineering,VPN,5
Australia,2023,Ransomware,IT,49.93,907321,Insider,Weak Passwords,Firewall,26
Germany,2022,Man-in-the-Middle,IT,48.09,694412,Hacker Group,Unpatched Software,Firewall,71
Germany,2018,DDoS,Telecommunications,29.48,325498,Hacker Group,Unpatched Software,AI-based Detection,34
Japan,2017,DDoS,Retail,2.63,81074,Insider,Social Engineering,VPN,4
Germany,2018,Ransomware,Banking,39.52,906155,Nation-state,Social Engineering,Firewall,33
UK,2022,Malware,Healthcare,4.96,60123,Unknown,Unpatched Software,Antivirus,13
Germany,2023,Malware,Government,2.16,190096,Hacker Group,Zero-day,Firewall,13
France,2024,Man-in-the-Middle,Healthcare,15.76,595120,Hacker Group,Social Engineering,Encryption,44
Australia,2019,Ransomware,IT,31.48,592856,Hacker Group,Unpatched Software,VPN,27
Germany,2023,Ransomware,Retail,9.83,123995,Unknown,Weak Passwords,VPN,12
Brazil,2024,Man-in-the-Middle,Banking,17.53,483826,Insider,Social Engineering,AI-based Detection,21
UK,2024,SQL Injection,Banking,6.57,269044,Insider,Social Engineering,Firewall,1
Japan,2020,DDoS,Government,4.38,285090,Hacker Group,Social Engineering,VPN,19
Germany,2021,Phishing,Education,29.56,342546,Nation-state,Unpatched Software,AI-based Detection,30
Brazil,2016,Malware,Government,12.78,340402,Hacker Group,Unpatched Software,Antivirus,39
Germany,2017,Ransomware,Education,31.94,516812,Nation-state,Unpatched Software,VPN,27
France,2024,Phishing,Government,17.12,334122,Nation-state,Unpatched Software,Antivirus,39
China,2024,Man-in-the-Middle,Healthcare,2.4,282163,Nation-state,Zero-day,Encryption,10
China,2023,Malware,Telecommunications,15.47,403705,Hacker Group,Social Engineering,AI-based Detection,41
USA,2016,Phishing,Healthcare,8.11,118209,Hacker Group,Unpatched Software,Encryption,18
Russia,2017,SQL Injection,Government,2.73,143239,Nation-state,Weak Passwords,Encryption,14
France,2018,Ransomware,Banking,1.15,181037,Unknown,Social Engineering,Encryption,18
Germany,2016,SQL Injection,Retail,3.25,249583,Hacker Group,Social Engineering,Encryption,7
Brazil,2020,DDoS,Retail,15.38,216797,Hacker Group,Unpatched Software,Firewall,30
Brazil,2017,Phishing,IT,63.06,599341,Hacker Group,Social Engineering,Firewall,55
Brazil,2016,Ransomware,Banking,5.59,55906,Hacker Group,Social Engineering,Encryption,24
Brazil,2021,Ransomware,Retail,3.21,201404,Hacker Group,Weak Passwords,Firewall,23
Germany,2017,Malware,Telecommunications,5.55,98540,Unknown,Zero-day,Antivirus,6
China,2017,DDoS,Government,7.12,265661,Nation-state,Weak Passwords,VPN,18
Russia,2021,Ransomware,Government,3.37,85625,Unknown,Zero-day,Firewall,24
USA,2020,SQL Injection,Government,16.66,329536,Hacker Group,Social Engineering,AI-based Detection,25
Japan,2020,Phishing,Telecommunications,19.09,342562,Nation-state,Social Engineering,AI-based Detection,32
China,2018,Phishing,Banking,5.56,268739,Unknown,Unpatched Software,Antivirus,1
Australia,2022,DDoS,Education,84.98,681902,Unknown,Zero-day,Antivirus,30
France,2016,DDoS,Retail,9.33,131308,Hacker Group,Social Engineering,Firewall,3
USA,2022,Malware,IT,18.68,474353,Hacker Group,Unpatched Software,Firewall,47
Brazil,2019,Man-in-the-Middle,IT,9.8,51092,Hacker Group,Unpatched Software,Antivirus,4
China,2021,Man-in-the-Middle,Retail,8.13,138519,Nation-state,Social Engineering,Antivirus,1
Germany,2024,DDoS,Telecommunications,53.7,948296,Hacker Group,Weak Passwords,Antivirus,26
USA,2018,DDoS,Telecommunications,9.48,241481,Hacker Group,Zero-day,AI-based Detection,13
France,2023,DDoS,Government,15.53,512430,Unknown,Social Engineering,Firewall,23
Brazil,2021,Malware,Banking,9.41,85757,Hacker Group,Zero-day,Encryption,11
China,2018,Ransomware,IT,10.02,355133,Hacker Group,Social Engineering,VPN,21
Germany,2023,DDoS,Healthcare,5.86,251962,Insider,Unpatched Software,AI-based Detection,11
USA,2016,Ransomware,Education,12.39,591408,Nation-state,Unpatched Software,AI-based Detection,18
USA,2022,Phishing,Telecommunications,7.97,67416,Hacker Group,Zero-day,AI-based Detection,4
Germany,2017,DDoS,Healthcare,15.5,322668,Nation-state,Weak Passwords,VPN,42
France,2018,Ransomware,Government,3.54,22489,Nation-state,Social Engineering,VPN,1
USA,2015,SQL Injection,Banking,20.87,534346,Hacker Group,Weak Passwords,Antivirus,15
China,2024,Phishing,IT,1.05,234074,Hacker Group,Unpatched Software,Encryption,3
China,2021,Phishing,IT,16.29,536779,Hacker Group,Weak Passwords,Encryption,32
Japan,2017,Ransomware,Government,13.46,414763,Insider,Zero-day,Antivirus,14
Brazil,2023,Phishing,Healthcare,1.14,7776,Unknown,Social Engineering,AI-based Detection,13
UK,2018,Man-in-the-Middle,Education,15.67,391209,Unknown,Unpatched Software,Antivirus,39
UK,2021,Malware,Education,18.72,579081,Hacker Group,Social Engineering,Encryption,39
China,2019,SQL Injection,Education,0.68,12366,Nation-state,Zero-day,Antivirus,9
Japan,2018,Malware,Healthcare,15.06,443562,Hacker Group,Unpatched Software,Encryption,31
Brazil,2021,DDoS,Government,7.22,193813,Nation-state,Social Engineering,VPN,3
China,2015,SQL Injection,IT,8.27,202764,Unknown,Unpatched Software,Encryption,17
India,2023,Ransomware,Retail,19.64,451960,Unknown,Unpatched Software,Firewall,12
Australia,2023,Man-in-the-Middle,Healthcare,16.32,448046,Unknown,Social Engineering,VPN,26
India,2019,Ransomware,Education,16.32,458708,Unknown,Unpatched Software,VPN,33
Japan,2019,Malware,Healthcare,21.49,348115,Hacker Group,Social Engineering,Firewall,12
USA,2024,Ransomware,IT,2.84,37310,Hacker Group,Zero-day,Encryption,5
Russia,2015,DDoS,IT,14.08,576386,Hacker Group,Unpatched Software,Encryption,38
Brazil,2018,DDoS,Banking,19.28,286450,Nation-state,Social Engineering,AI-based Detection,48
India,2021,Malware,IT,0.93,132341,Hacker Group,Weak Passwords,AI-based Detection,18
China,2023,Ransomware,Banking,6.55,21268,Nation-state,Unpatched Software,Firewall,14
China,2020,Ransomware,Education,8.56,189756,Unknown,Unpatched Software,AI-based Detection,1
USA,2019,Ransomware,Banking,73.17,514747,Nation-state,Social Engineering,VPN,46
Brazil,2016,Man-in-the-Middle,Healthcare,4.77,165285,Nation-state,Weak Passwords,Firewall,18
China,2021,Malware,Telecommunications,3.89,179019,Hacker Group,Unpatched Software,Firewall,18
UK,2017,SQL Injection,Government,18.07,318003,Unknown,Weak Passwords,AI-based Detection,33
China,2024,DDoS,IT,14.82,392417,Unknown,Zero-day,AI-based Detection,24
China,2023,Ransomware,Banking,34.0,803930,Insider,Zero-day,Antivirus,48
Australia,2023,Ransomware,Healthcare,2.01,29282,Unknown,Social Engineering,Antivirus,24
Brazil,2022,Man-in-the-Middle,Retail,49.62,565548,Unknown,Unpatched Software,VPN,50
Germany,2018,DDoS,Retail,6.58,17970,Hacker Group,Unpatched Software,AI-based Detection,23
UK,2024,Phishing,Banking,86.25,531078,Hacker Group,Social Engineering,Encryption,72
